image_id,property_id,image_url
13,5,https://images.nigeriapropertycentre.com/properties/images/1863506/067d080ad4d5ab-contemporary-5-bedroom-smart-home-with-swimming-pool-detached-duplexes-for-sale-lekki-lagos.jpeg
14,5,https://images.nigeriapropertycentre.com/properties/images/1863506/0664748fc6963d-contemporary-5-bedroom-smart-home-with-a-maid-rooms-detached-duplexes-for-sale-lekki-lagos.jpeg
15,5,https://images.nigeriapropertycentre.com/properties/images/1863506/067d0803de636d-contemporary-5-bedroom-smart-home-with-swimming-pool-detached-duplexes-for-sale-lekki-lagos.jpeg
16,5,https://images.nigeriapropertycentre.com/properties/images/1863506/0664748ff9e008-contemporary-5-bedroom-smart-home-with-a-maid-rooms-detached-duplexes-for-sale-lekki-lagos.jpeg
17,5,https://images.nigeriapropertycentre.com/properties/images/1863506/0664748fb94abd-contemporary-5-bedroom-smart-home-with-a-maid-rooms-detached-duplexes-for-sale-lekki-lagos.jpeg
18,5,https://images.nigeriapropertycentre.com/properties/images/1863506/067d08037189d4-contemporary-5-bedroom-smart-home-with-swimming-pool-detached-duplexes-for-sale-lekki-lagos.jpeg
19,5,https://images.nigeriapropertycentre.com/properties/images/1863506/06647490069433-contemporary-5-bedroom-smart-home-with-a-maid-rooms-detached-duplexes-for-sale-lekki-lagos.jpeg
